e, e_dot, e_int, stamp, 
0.7655567404706067, -0.006668230593174964, 0.23537331062667385, 1729719427678337270, 
0.7614363600889531, -0.03812160934903732, 0.23069715279442127, 1729719427722003807, 
0.7540314570973217, -0.0813541079679145, 0.07081118658578248, 1729719427771468034, 
0.7415973177200259, -0.11220872238456651, 0.08726114226917214, 1729719427837987800, 
0.7311838652880063, -0.14167296767904072, 0.0818400586449171, 1729719427881724358, 
0.7182975299364265, -0.16600421095798282, 0.06815356033418392, 1729719427931302878, 
0.7014649216946114, -0.1967672453103111, 0.0720761562092424, 1729719427982251492, 
0.6825183715714922, -0.23350238569500004, 0.07157458296484258, 1729719428033441349, 
0.6660966740180765, -0.24393145205952763, 0.06600908981060621, 1729719428078846392, 
0.5690009768517923, -0.4679213568598483, 0.08858030396992289, 1729719428172020141, 
0.5195140302192964, -0.5172858654981645, 0.11127265172664577, 1729719428269098149, 
0.4607117512342649, -0.3441734917321438, 0.10822030669818333, 1729719428381583343, 
0.4116736315721212, -0.34236928415538265, 0.09730078367957039, 1729719428478813268, 
0.26696108266441376, -0.6026343528524672, 0.07908736917044015, 1729719428589827380, 
0.2217614703023676, -0.622633785397395, 0.05735688948225878, 1729719428669918774, 
0.15550310297410386, -0.3851444453197856, 0.041270805938689634, 1729719428782015345, 
0.09241165610664348, -0.4122937932125506, 0.03284474475358492, 1729719428879710601, 
0.03843931692258762, -0.37897090791760357, 0.019815032086344293, 1729719428989608326, 
-0.07515997385697704, -0.6333316225837086, 0.0035369095539335717, 1729719429070239211, 
-0.11710557249114428, -0.5923102481269044, -0.009978090403277325, 1729719429184206291, 
-0.16026241246183037, -0.2710145532885559, -0.02478860894924567, 1729719429281189364, 
-0.18623931835944152, -0.2422968578297848, -0.029227875798245918, 1729719429373339695, 
-0.251459333648413, -0.2938298260612801, -0.0400482916066689, 1729719429482113608, 
-0.2531329787019354, -0.20543190050073531, -0.04812162204751238, 1729719429582312272, 
-0.25899234549495587, -0.025125621456012687, -0.05092153583478092, 1729719429682176045, 
-0.2532599429469191, 0.0016584816327141437, -0.048455633260819385, 1729719429772238713, 
-0.2219060890010347, 0.12560000133914664, -0.04654232151041713, 1729719429872362480, 
-0.22640476478016147, 0.09072911113976696, -0.0490970913011254, 1729719429982183703, 
-0.19050485799070005, 0.10580974526526725, -0.0447150487997208, 1729719430082352848, 
-0.1537965923450928, 0.2305861657493614, -0.040003323421772916, 1729719430192466975, 
-0.11771366452251053, 0.2453127573296933, -0.03076173283034139, 1729719430282097825, 
-0.11458010988855394, 0.14462209168329995, -0.02442211732108001, 1729719430382231751, 
-0.08906495696702343, 0.09553636095435597, -0.021431384230601397, 1729719430482167549, 
-0.07095931108401032, 0.15123725887878758, -0.01750106626026101, 1729719430573427533, 
-0.05796372270399397, 0.11003485377520845, -0.013800783872007658, 1729719430672097056, 
-0.07140758734690777, 0.003221528880739575, -0.013944729199619858, 1729719430782253260, 
-0.053636516067925744, 0.018583177904774022, -0.012817247195808654, 1729719430882206877, 
-0.04556043403699128, 0.08913610563447183, -0.010809118779715667, 1729719430972326495, 
-0.055119661638457274, 0.0009330948151084761, -0.010299546261829537, 1729719431082435734, 
-0.09403659089929484, -0.15873780896661177, -0.013633453255262364, 1729719431182377110, 
-0.09500631781787172, -0.13303776120586958, -0.016257285262373678, 1729719431282187300, 
-0.10004951975806531, -0.021927754130367533, -0.018285950272820418, 1729719431372135974, 
-0.10910086926103224, -0.046262295909881755, -0.020213351289580104, 1729719431481558389, 
-0.1446962274714214, -0.1452580491222754, -0.0247979800482931, 1729719431582379443, 
-0.14799619371488104, -0.12870519712234946, -0.026871424987638875, 1729719431682194579, 
-0.1537085753728915, -0.03211636774202222, -0.02828319070185718, 1729719431772454225, 
-0.1561085311303323, -0.02911488886857781, -0.02899844274354399, 1729719431872218172, 
-0.1698900554780134, -0.04969729208228952, -0.03357707242142311, 1729719431982439035, 
-0.1580404792272918, -0.0021570132647230436, -0.033909016961691366, 1729719432082381066, 
-0.15439998010689493, 0.0531276001929484, -0.030407712328541964, 1729719432171568966, 
-0.16559646088262658, -0.02347358444803151, -0.030250227461270412, 1729719432272221387, 
-0.15800316895891386, -0.014094575643762014, -0.033582884560093396, 1729719432382340380, 
-0.1533158614637471, 0.039115953522629664, -0.03290385354254112, 1729719432479200532, 
-0.15033988922619113, 0.026363700490785902, -0.029823452283959724, 1729719432576142239, 
-0.1482809714090325, 0.017697557301684205, -0.028454223605752026, 1729719432668082441, 
-0.1395416004508645, 0.03387512432777947, -0.02953831876649197, 1729719432778384476, 
-0.1329440402602211, 0.04844703526639612, -0.02946754772584162, 1729719432878181438, 
-0.12598183325177104, 0.045478031865114565, -0.026404905532566244, 1729719432977182927, 
-0.11634976735109337, 0.0574758371026975, -0.024185016327808135, 1729719433071519457, 
-0.10361370532334524, 0.07237241997163969, -0.023647829518553806, 1729719433182254328, 
-0.09590571487554955, 0.06404681044181888, -0.022181867789375996, 1729719433282194021, 
-0.08368190775271245, 0.06311343329130986, -0.019717684966457708, 1729719433391127130, 
-0.07537692234740856, 0.07150162751804397, -0.016158199987592547, 1729719433472316926, 
-0.06346016186253678, 0.07015566936767183, -0.014193050582242805, 1729719433582477771, 
-0.053137226663601655, 0.06989019951025545, -0.013557869651737121, 1729719433684186987, 
-0.046051621053775804, 0.06061664331308222, -0.010295011108162371, 1729719433772365391, 
-0.04354025693501473, 0.03520657929042321, -0.008924455411565092, 1729719433871768674, 
-0.039050169557329095, 0.02195051559553393, -0.009006297757466305, 1729719433982396977, 
-0.03739825262753449, 0.019272906199832195, -0.00825898184862483, 1729719434078262701, 
-0.0331483143920277, 0.02089772793049816, -0.006917374406731892, 1729719434171746805, 
-0.03180221831763008, 0.019234505049323985, -0.00694068711329488, 1729719434281704894, 
-0.034754946825377164, -0.0057039592278883946, -0.00699763548636033, 1729719434382295980, 
-0.033032752970075574, -0.0038690198874764665, -0.006560785554959573, 1729719434479338922, 
-0.03461615015392727, 0.00019451498084000854, -0.006461629647669288, 1729719434571594419, 
-0.038343939804630356, -0.01799269576436675, -0.006837001027656226, 1729719434672852017, 
-0.03948676248485983, -0.01574636182752247, -0.00790462308640686, 1729719434782483997, 
-0.03965814573045989, -0.004068606188633067, -0.00806074345927703, 1729719434878677768, 
-0.039880361149219556, -0.001386146343830109, -0.007525871490476903, 1729719434972171570, 
-0.04118928590450022, -0.005304607834779522, -0.007653577257659749, 1729719435068863733, 
-0.04370998942560744, -0.011918532832627253, -0.008740500629641794, 1729719435182314047, 
-0.04568709821465955, -0.01418049072169326, -0.009173042900196347, 1729719435279598804, 
-0.046048160538733285, -0.008073953720791243, -0.008573214891945777, 1729719435372203652, 
-0.04415232656112389, 0.005176827642147701, -0.008614374963776603, 1729719435469778980, 
-0.043224996512240654, 0.009234788123886577, -0.009323790851728844, 1729719435581844058, 
-0.039914083623119545, 0.013959055625487127, -0.008935753898636573, 1729719435680376556, 
-0.037621744986293226, 0.019495886345786567, -0.0076742796303839456, 1729719435772492299, 
-0.03384442013164923, 0.01968903403248806, -0.007522733974248063, 1729719435882999572, 
-0.03136340466707255, 0.019595146591707777, -0.007244211946546739, 1729719435983838470, 
-0.027942093453598105, 0.019913014446015443, -0.006154547123414911, 1729719436081213824, 
-0.024816827221323834, 0.0230331626637324, -0.005310693993866321, 1729719436173230310, 
-0.021710296218365066, 0.021774153859734607, -0.004743249102322831, 1729719436272296098, 
-0.018680341474335282, 0.019635164102949135, -0.004544026903118884, 1729719436382287367, 
-0.017088288315446842, 0.014493147358683935, -0.004021952829422907, 1729719436482214051, 
-0.015334953991722688, 0.011730202729985826, -0.0032530715163566894, 1729719436573256646, 
-0.01453360182456409, 0.008874907605659078, -0.0031277710796217984, 1729719436682042498, 
-0.016006487903620137, -0.0024371970210959634, -0.003197993980007294, 1729719436782389568, 
